submodules/helix_agent/MCP/submodules/omnisearch-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 3 ref(s)	refs/heads/main,refs/heads/renovate/pnpm-11.x,refs/heads/renovate/vite-plus-0.x-lockfile	31	0
submodules/helix_agent/MCP/submodules/perplexity-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 4 ref(s)	refs/heads/main,refs/heads/readme-console-link,refs/heads/readme-local-section,refs/heads/readme-remote-server	28	0
submodules/helix_agent/MCP/submodules/python-sdk	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 40 ref(s)	refs/heads/api-surface-cleanup,refs/heads/claude/zensical-takeover-empirical-7vksc2,refs/heads/client-scope-fallback,refs/heads/custom-notifications	44	0
submodules/helix_agent/MCP/submodules/redis-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 3 ref(s)	refs/heads/main,refs/heads/release/0.5.1,refs/tags/0.5.1	18	0
submodules/helix_agent/MCP/submodules/registry	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 4 ref(s)	refs/heads/main,refs/heads/rdimitrov/validate-issue-1468,refs/tags/v1.8.0,refs/tags/v1.8.1	30	0
submodules/helix_agent/MCP/submodules/supabase-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 17 ref(s)	refs/heads/barryroodt/ai-178-improve-mcp-db-tool-error-for-wrong-organization-selection,refs/heads/chore/regenerate-management-api-types,refs/heads/ci/management-api-type-sync,refs/heads/claude/mcp-query-logs-direct	14	0
submodules/helix_agent/MCP/submodules/sentry-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 21 ref(s)	refs/heads/chore/agents-mcp-sdk-v2,refs/heads/claude/fix-oauth-non-json-upstream-errors-a3f1e2,refs/heads/dcramer/test/migrate-vitest-evals-harness,refs/heads/feat-no-region-fanout	57	0
submodules/helix_agent/MCP/submodules/trello-mcp	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 10 ref(s)	refs/heads/ci/publish-hardening,refs/heads/ci/trusted-publishing,refs/heads/codex/harden-nightly-pr,refs/heads/feat/mcps-2-ac-heading-tolerance	16	0
submodules/helix_agent/MCP/submodules/typescript-sdk	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 56 ref(s)	refs/heads/claude/fix-2002-stdin-eof-close,refs/heads/claude/fix-2233-declaration-maps,refs/heads/claude/oauth-tokens-null-fields-v2,refs/heads/dependabot/github_actions/actions/setup-node-7	24	0
submodules/helix_agent/docs/research/CL4R1T4S	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	4	0
submodules/helix_agent/docs/research/LEAKHUB	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	1	0
submodules/helix_agent/cli_agents/continue	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 57 ref(s)	refs/heads/dependabot/npm_and_yarn/binary/undici-7.28.0,refs/heads/dependabot/npm_and_yarn/core/hono-4.12.26,refs/heads/dependabot/npm_and_yarn/core/multi-10b1db676f,refs/heads/dependabot/npm_and_yarn/core/multi-e9aa88d040	3	0
submodules/helix_agent/cli_agents/kilo-code	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 133 ref(s)	refs/heads/Drixled/Ultramode,refs/heads/align-jetbrains-usage-analytics-headers,refs/heads/benchmark/swe-pruner-all-tools,refs/heads/benchmark/swe-pruner-default	2831	0
submodules/helix_agent/cli_agents/opencode-cli	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 110 ref(s)	refs/heads/acp-subagent-events,refs/heads/agent-env-markers,refs/heads/agent-picker-custom,refs/heads/alibaba-changes	529	0
submodules/helix_agent/external/cognee	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 103 ref(s)	refs/heads/chore/cog-5962-remove-stale-poetry-artifacts,refs/heads/chunk-level-incremental-loading,refs/heads/dependabot/uv/uv-4d498ad883,refs/heads/dev	532	0
submodules/helix_agent/tools/snow-cli	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 16 ref(s)	refs/heads/Alpha,refs/heads/main,refs/tags/v0.8.12,refs/tags/v0.8.13	98	0
submodules/helix_llm	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	1	0
submodules/helix_qa/tools/opensource/anthropic-quickstarts	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 1 ref(s)	refs/heads/main	5	0
submodules/helix_qa/tools/opensource/allure2	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 6 ref(s)	refs/heads/dependabot/gradle/gradle-wrapper-9.6.1,refs/heads/dependabot/npm_and_yarn/allure-generator/multi-c08e63791c,refs/heads/main,refs/tags/2.44.0	33	0
submodules/helix_qa/tools/opensource/appium	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 33 ref(s)	refs/heads/master,refs/heads/renovate/conventional-changelog-conventionalcommits-10.x,refs/heads/renovate/eslint-plugin-mocha-12.x,refs/heads/renovate/eslint-plugin-unicorn-73.x	161	0
submodules/helix_qa/tools/opensource/docling	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 17 ref(s)	refs/heads/cau/serializer-whitespace-fixes,refs/heads/cau/test-diff-threaded-docling-parse,refs/heads/chore/import-from-the-right-file-in-core,refs/heads/dev/add-threaded-renderer-as-default	117	0
submodules/helix_qa/tools/opensource/chroma	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 64 ref(s)	refs/heads/backfill_unblock,refs/heads/claude/bm25-directory-decode-alert,refs/heads/claude/bm25-idf-clamp,refs/heads/claude/bm25-maxscore-exact-df	66	0
submodules/helix_qa/tools/opensource/kiwi-tcms	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 13 ref(s)	refs/heads/dependabot/docker/tests/redmine/redmine-7,refs/heads/dependabot/github_actions/actions/setup-python-7,refs/heads/dependabot/npm_and_yarn/tcms/datatables.net-buttons-4.0.1,refs/heads/dependabot/npm_and_yarn/tcms/eslint-plugin-n-18.2.2	57	0
submodules/helix_qa/tools/opensource/browser-use	CLONE-SAFE	clone-probe(tree:0 bare)	pin present in fresh clone, reachable from 38 ref(s)	refs/heads/claude/github-actions-workflow-failure-d68rha,refs/heads/cli-mcp,refs/heads/codex/eng-5623-dependabot-vulnerabilities,refs/heads/codex/raw-cdp-code-mode	287	0
